rep,time,state,scenario
1,1,20,ghost
1,2,19,ghost
1,3,21,ghost
1,4,20,ghost
1,5,22,ghost
1,6,23,ghost
1,7,23,ghost
1,8,23,ghost
1,9,24,ghost
1,10,23,ghost
1,11,20,ghost
1,12,20,ghost
1,13,20,ghost
1,14,19,ghost
1,15,19,ghost
1,16,20,ghost
1,17,21,ghost
1,18,22,ghost
1,19,23,ghost
1,20,23,ghost
1,21,21,ghost
1,22,22,ghost
1,23,22,ghost
1,24,20,ghost
1,25,19,ghost
1,26,20,ghost
1,27,21,ghost
1,28,20,ghost
1,29,21,ghost
1,30,21,ghost
1,31,22,ghost
1,32,21,ghost
1,33,21,ghost
1,34,21,ghost
1,35,20,ghost
1,36,20,ghost
1,37,20,ghost
1,38,22,ghost
1,39,24,ghost
1,40,23,ghost
1,41,23,ghost
1,42,22,ghost
1,43,23,ghost
1,44,21,ghost
1,45,20,ghost
1,46,20,ghost
1,47,20,ghost
1,48,20,ghost
1,49,20,ghost
1,50,20,ghost
1,51,21,ghost
1,52,19,ghost
1,53,18,ghost
1,54,19,ghost
1,55,19,ghost
1,56,18,ghost
1,57,18,ghost
1,58,18,ghost
1,59,19,ghost
1,60,20,ghost
1,61,20,ghost
1,62,19,ghost
1,63,19,ghost
1,64,17,ghost
1,65,17,ghost
1,66,16,ghost
1,67,17,ghost
1,68,16,ghost
1,69,17,ghost
1,70,17,ghost
1,71,16,ghost
1,72,16,ghost
1,73,16,ghost
1,74,17,ghost
1,75,18,ghost
1,76,19,ghost
1,77,20,ghost
1,78,18,ghost
1,79,18,ghost
1,80,18,ghost
1,81,19,ghost
1,82,21,ghost
1,83,22,ghost
1,84,22,ghost
1,85,22,ghost
1,86,22,ghost
1,87,22,ghost
1,88,21,ghost
1,89,22,ghost
1,90,21,ghost
1,91,21,ghost
1,92,23,ghost
1,93,22,ghost
1,94,22,ghost
1,95,23,ghost
1,96,22,ghost
1,97,23,ghost
1,98,22,ghost
1,99,21,ghost
1,100,21,ghost
1,101,22,ghost
1,102,22,ghost
1,103,23,ghost
1,104,26,ghost
1,105,25,ghost
1,106,26,ghost
1,107,24,ghost
1,108,23,ghost
1,109,25,ghost
1,110,25,ghost
1,111,25,ghost
1,112,24,ghost
1,113,25,ghost
1,114,24,ghost
1,115,25,ghost
1,116,27,ghost
1,117,25,ghost
1,118,22,ghost
1,119,23,ghost
1,120,23,ghost
1,121,23,ghost
1,122,24,ghost
1,123,25,ghost
1,124,25,ghost
1,125,24,ghost
1,126,23,ghost
1,127,22,ghost
1,128,20,ghost
1,129,20,ghost
1,130,20,ghost
1,131,19,ghost
1,132,19,ghost
1,133,20,ghost
1,134,19,ghost
1,135,20,ghost
1,136,22,ghost
1,137,24,ghost
1,138,23,ghost
1,139,23,ghost
1,140,23,ghost
1,141,22,ghost
1,142,23,ghost
1,143,22,ghost
1,144,22,ghost
1,145,21,ghost
1,146,21,ghost
1,147,19,ghost
1,148,22,ghost
1,149,23,ghost
1,150,21,ghost
1,151,22,ghost
1,152,21,ghost
1,153,22,ghost
1,154,21,ghost
1,155,21,ghost
1,156,21,ghost
1,157,20,ghost
1,158,21,ghost
1,159,22,ghost
1,160,24,ghost
1,161,23,ghost
1,162,22,ghost
1,163,23,ghost
1,164,25,ghost
1,165,27,ghost
1,166,28,ghost
1,167,29,ghost
1,168,33,ghost
1,169,34,ghost
1,170,37,ghost
1,171,39,ghost
1,172,45,ghost
1,173,47,ghost
1,174,53,ghost
1,175,58,ghost
1,176,61,ghost
1,177,62,ghost
1,178,70,ghost
1,179,82,ghost
1,180,92,ghost
1,181,102,ghost
1,182,102,ghost
1,183,106,ghost
1,184,107,ghost
1,185,108,ghost
1,186,96,ghost
1,187,105,ghost
1,188,103,ghost
1,189,94,ghost
1,190,98,ghost
1,191,101,ghost
1,192,108,ghost
1,193,99,ghost
1,194,99,ghost
1,195,103,ghost
1,196,116,ghost
1,197,112,ghost
1,198,108,ghost
1,199,114,ghost
1,200,109,ghost
2,1,20,ghost
2,2,21,ghost
2,3,23,ghost
2,4,23,ghost
2,5,24,ghost
2,6,23,ghost
2,7,22,ghost
2,8,22,ghost
2,9,22,ghost
2,10,23,ghost
2,11,22,ghost
