prior,reps,time,state,obs,action,value
ghost,1,1,21,21,49,-47.952
ghost,1,2,2,2,3,-1.996002
ghost,1,3,1,1,1,-0
ghost,1,4,1,1,1,-0
ghost,1,5,1,1,1,-0
ghost,1,6,1,1,1,-0
ghost,1,7,1,1,1,-0
ghost,1,8,1,1,1,-0
ghost,1,9,1,1,1,-0
ghost,1,10,1,1,1,-0
ghost,1,11,1,1,1,-0
ghost,1,12,1,1,1,-0
ghost,1,13,1,1,1,-0
ghost,1,14,1,1,1,-0
ghost,1,15,1,1,1,-0
ghost,1,16,1,1,1,-0
ghost,1,17,1,1,1,-0
ghost,1,18,1,1,1,-0
ghost,1,19,1,1,1,-0
ghost,1,20,1,1,1,-0
ghost,1,21,1,1,1,-0
ghost,1,22,1,1,1,-0
ghost,1,23,1,1,1,-0
ghost,1,24,1,1,1,-0
ghost,1,25,1,1,1,-0
ghost,1,26,1,1,1,-0
ghost,1,27,1,1,1,-0
ghost,1,28,1,1,1,-0
ghost,1,29,1,1,1,-0
ghost,1,30,1,1,1,-0
ghost,1,31,1,1,1,-0
ghost,1,32,1,1,1,-0
ghost,1,33,1,1,1,-0
ghost,1,34,1,1,1,-0
ghost,1,35,1,1,1,-0
ghost,1,36,1,1,1,-0
ghost,1,37,1,1,1,-0
ghost,1,38,1,1,1,-0
ghost,1,39,1,1,1,-0
ghost,1,40,1,1,1,-0
ghost,1,41,1,1,1,-0
ghost,1,42,1,1,1,-0
ghost,1,43,1,1,1,-0
ghost,1,44,1,1,1,-0
ghost,1,45,1,1,1,-0
ghost,1,46,1,1,1,-0
ghost,1,47,1,1,1,-0
ghost,1,48,1,1,1,-0
ghost,1,49,1,1,1,-0
ghost,1,50,1,1,1,-0
ghost,1,51,1,1,1,-0
ghost,1,52,1,1,1,-0
ghost,1,53,1,1,1,-0
ghost,1,54,1,1,1,-0
ghost,1,55,1,1,1,-0
ghost,1,56,1,1,1,-0
ghost,1,57,1,1,1,-0
ghost,1,58,1,1,1,-0
ghost,1,59,1,1,1,-0
ghost,1,60,1,1,1,-0
ghost,2,1,21,21,49,-47.952
ghost,2,2,2,2,3,-1.996002
ghost,2,3,1,1,1,-0
ghost,2,4,1,1,1,-0
ghost,2,5,1,1,1,-0
ghost,2,6,1,1,1,-0
ghost,2,7,1,1,1,-0
ghost,2,8,1,1,1,-0
ghost,2,9,1,1,1,-0
ghost,2,10,1,1,1,-0
ghost,2,11,1,1,1,-0
ghost,2,12,1,1,1,-0
ghost,2,13,1,1,1,-0
ghost,2,14,1,1,1,-0
ghost,2,15,1,1,1,-0
ghost,2,16,1,1,1,-0
ghost,2,17,1,1,1,-0
ghost,2,18,1,1,1,-0
ghost,2,19,1,1,1,-0
ghost,2,20,1,1,1,-0
ghost,2,21,1,1,1,-0
ghost,2,22,1,1,1,-0
ghost,2,23,1,1,1,-0
ghost,2,24,1,1,1,-0
ghost,2,25,1,1,1,-0
ghost,2,26,1,1,1,-0
ghost,2,27,1,1,1,-0
ghost,2,28,1,1,1,-0
ghost,2,29,1,1,1,-0
ghost,2,30,1,1,1,-0
ghost,2,31,1,1,1,-0
ghost,2,32,1,1,1,-0
ghost,2,33,1,1,1,-0
ghost,2,34,1,1,1,-0
ghost,2,35,1,1,1,-0
ghost,2,36,1,1,1,-0
ghost,2,37,1,1,1,-0
ghost,2,38,1,1,1,-0
ghost,2,39,1,1,1,-0
ghost,2,40,1,1,1,-0
ghost,2,41,1,1,1,-0
ghost,2,42,1,1,1,-0
ghost,2,43,1,1,1,-0
ghost,2,44,1,1,1,-0
ghost,2,45,1,1,1,-0
ghost,2,46,1,1,1,-0
ghost,2,47,1,1,1,-0
ghost,2,48,1,1,1,-0
ghost,2,49,1,1,1,-0
ghost,2,50,1,1,1,-0
ghost,2,51,1,1,1,-0
ghost,2,52,1,1,1,-0
ghost,2,53,1,1,1,-0
ghost,2,54,1,1,1,-0
ghost,2,55,1,1,1,-0
ghost,2,56,1,1,1,-0
ghost,2,57,1,1,1,-0
ghost,2,58,1,1,1,-0
ghost,2,59,1,1,1,-0
ghost,2,60,1,1,1,-0
ghost,3,1,21,21,49,-47.952
ghost,3,2,2,2,3,-1.996002
ghost,3,3,1,1,1,-0
ghost,3,4,1,1,1,-0
ghost,3,5,1,1,1,-0
ghost,3,6,1,1,1,-0
ghost,3,7,1,1,1,-0
ghost,3,8,1,1,1,-0
ghost,3,9,1,1,1,-0
ghost,3,10,1,1,1,-0
ghost,3,11,1,1,1,-0
ghost,3,12,1,1,1,-0
ghost,3,13,1,1,1,-0
ghost,3,14,1,1,1,-0
ghost,3,15,1,1,1,-0
ghost,3,16,1,1,1,-0
ghost,3,17,1,1,1,-0
ghost,3,18,1,1,1,-0
ghost,3,19,1,1,1,-0
ghost,3,20,1,1,1,-0
ghost,3,21,1,1,1,-0
ghost,3,22,1,1,1,-0
ghost,3,23,1,1,1,-0
ghost,3,24,1,1,1,-0
ghost,3,25,1,1,1,-0
ghost,3,26,1,1,1,-0
ghost,3,27,1,1,1,-0
ghost,3,28,1,1,1,-0
ghost,3,29,1,1,1,-0
ghost,3,30,1,1,1,-0
ghost,3,31,1,1,1,-0
ghost,3,32,1,1,1,-0
ghost,3,33,1,1,1,-0
ghost,3,34,1,1,1,-0
ghost,3,35,1,1,1,-0
ghost,3,36,1,1,1,-0
ghost,3,37,1,1,1,-0
ghost,3,38,1,1,1,-0
ghost,3,39,1,1,1,-0
ghost,3,40,1,1,1,-0
ghost,3,41,1,1,1,-0
ghost,3,42,1,1,1,-0
ghost,3,43,1,1,1,-0
ghost,3,44,1,1,1,-0
ghost,3,45,1,1,1,-0
ghost,3,46,1,1,1,-0
ghost,3,47,1,1,1,-0
ghost,3,48,1,1,1,-0
ghost,3,49,1,1,1,-0
ghost,3,50,1,1,1,-0
ghost,3,51,1,1,1,-0
ghost,3,52,1,1,1,-0
ghost,3,53,1,1,1,-0
ghost,3,54,1,1,1,-0
ghost,3,55,1,1,1,-0
ghost,3,56,1,1,1,-0
ghost,3,57,1,1,1,-0
ghost,3,58,1,1,1,-0
ghost,3,59,1,1,1,-0
ghost,3,60,1,1,1,-0
ghost,4,1,21,21,49,-47.952
